text,level,quantPalavras,virgula,quantStopWords,canonicas
 Foi um espetáculo comentado nas conversas o dia inteiro,1,10,0,20.0,0.0
" À noite, as pessoas também procuraram olhar para o céu para ver outro fenômeno raro de acontecer",1,19,1,31.57894736842105,21.052631578947366
" Elas procuravam o cometa McNaught, que está passando pelo nosso céu",1,13,1,30.76923076923077,15.384615384615385
 Um cometa é um corpo que anda pelo Sistema Solar,1,11,0,36.36363636363637,18.181818181818183
" Quando está perto do Sol, desevolve uma cauda brilhante que pode ser vista até sem binóculo",1,18,1,50.0,11.11111111111111
 Eles são feitos de gelo e poeira,1,8,0,25.0,25.0
" Opresidente da Venezuela, Hugo Chávez, é uma pessoa muito polêmica",1,13,2,30.76923076923077,15.384615384615385
" Alguns acham que ele é um bom presidente e que está ajudando os pobres, mas outros dizem que está fazendo um governo ruim e que a Venezuela está ficando pior",1,32,1,50.0,0.0
" Ontem, ele tomou posse para mais seis anos de governo, até 2013",1,15,2,40.0,13.333333333333334
" Entre outras coisas, Chávez quer passar para o controle do governo todas as empresas que cuidam de energia e de telefones",1,23,1,39.130434782608695,17.391304347826086
 Chávez também quer mudar a lei para poder concorrer a presidente sempre que quiser e ficar no cargo até morrer,1,21,0,38.095238095238095,9.523809523809524
 O carvão usado para fazer eletricidade é diferente do colocado na churrasqueira para assar carne,1,16,0,37.5,31.25
" O que vira energia vem do subsolo, por isso é chamado de carvão mineral",1,16,1,43.75,18.75
" O que se compra no súper para o churrasco é vegetal, quer dizer, é feito de madeira",1,20,2,45.0,20.0
 Está no Rio Grande do Sul quase todo o carvão mineral que existe no Brasil,1,16,0,31.25,25.0
" Em outras palavras, uma ação social constitui-se como ação que parte da intenção de seu autor em relação à resposta que deseja de seu interlocutor",2,27,1,51.85185185185185,18.51851851851852
" Weber estipulou quatro tipos ideais de ações sociais: a ação racional com relação a fins, a ação racional com relação a valores, a ação afetiva e a ação tradicional",2,33,2,18.181818181818183,3.0303030303030303
" Percebe-se, portanto, que Weber afastou-se dos determinismos sócio-históricos de Karl Marx e do fatalismo da noção de um sistema externo e independente do indivíduo que Émile Durkheim propôs, elaborando, assim, a noção de um ser humano livre para agir, pensar e construir sua realidade",2,51,6,33.33333333333333,15.686274509803921
" Para Weber, as estruturas sociais estavam em contato direto com o poder de ação dos indivíduos, o que significa que os sujeitos, seus valores e ideias possuem força de ação direta sobre essas estruturas",2,38,3,34.21052631578947,13.157894736842104
" A tarefa da Sociologia seria, então, segundo o teórico, apreender os significados que norteiam essas ações",2,20,3,35.0,10.0
 Weber demonstrou esse princípio em seus estudos comparativos sobre as distinções entre religiões Ocidentais e Orientais,2,17,0,35.294117647058826,0.0
" Em seu livro, “A ética protestante e o espírito do capitalismo”, o autor buscou esclarecer como a lógica cristã foi responsável pelo desenvolvimento do sistema de produção capitalista",2,33,2,24.242424242424242,15.151515151515152
" Nisso estaria inserido o contexto cultural e valorativo das sociedades cristãs, e não apenas seu modelo ou situação econômica",2,21,1,23.809523809523807,9.090909090909092
 Outro ponto importante da teoria weberiana é a busca pela construção dos “tipos ideais” no processo de construção do conhecimento teórico,2,24,0,33.33333333333333,20.833333333333336
 O estabelecimento de tipos ideais não busca construir tipologias fixas nem mesmo busca classificar de maneira inflexível o objeto em questão,2,22,0,31.818181818181817,9.090909090909092
" Eles servem como parâmetro de observação, um “boneco” com características delineadas que serve apenas como ponto de comparação entre o observado e sua obra teórica",2,29,1,37.93103448275862,17.24137931034483
" Trata-se de modelos conceituais que nem sempre, ou quase nunca, existem",2,14,2,42.857142857142854,7.142857142857142
 Apenas alguns aspectos ou atributos são observáveis,2,8,0,37.5,0.0
" Weber ainda faz referência a um fenômeno de grande importância do mundo moderno e que está relacionado com as mudanças estruturais, culturais e sociais que as sociedades modernas passaram no decorrer do tempo: “a racionalização do mundo social”",2,43,1,37.2093023255814,11.627906976744185
" Esse fenômeno refere-se a mudanças profundas, como a gradual construção do capitalismo e a monstruosa explosão do crescimento dos meios urbanos, que se tornaram as bases da reordenação das organizações tradicionais que predominavam até então",2,38,2,31.57894736842105,13.157894736842104
" Ampliando nossa explicação, devemos dizer que a preocupação de Weber estava em tentar apreender os processos pelos quais o pensamento racional, ou a racionalidade, impactou as instituições modernas, como o Estado, os governos e, ainda, o âmbito cultural, social e individual do sujeito moderno",2,53,8,30.18867924528302,5.660377358490567
" Em sua denominação das diversas formas de racionalidade, Weber fez distinção de quatro principais formas: a racionalidade formal, a racionalidade substantiva, a racionalidade meio finalística e a racionalidade quanto aos valores",2,37,3,24.324324324324326,5.405405405405405
 A obra de Max Weber é incrivelmente diversa e amplamente utilizada em esforços de compreensão dos fenômenos sociais contemporâneos,2,20,0,25.0,10.0
" A sociologia weberiana influenciou e ainda influencia grandes teóricos, que enxergam na visão de Weber uma ferramenta para desvendar os mistérios das relações humanas",2,26,1,34.61538461538461,11.538461538461538
" Menos acrobático e mais lento que o estilo regional, o Angola privilegiava os movimentos executados rente ao chão",3,21,1,14.285714285714285,0.0
" Em 1941, Pastinha criou a primeira escola de capoeira legalizada pelo governo do estado brasileiro da Bahia: o centro esportivo de capoeira Angola, no largo do Pelourinho, em Salvador",3,34,3,29.411764705882355,23.52941176470588
" Em 1966, fez parte da comitiva brasileira ao primeiro festival mundial de arte negra no Senegal",3,19,1,31.57894736842105,21.052631578947366
" Tal fato motivou a letra da música Triste Bahia, do cantor brasileiro Caetano Veloso, lançada no disco Transa, de 1972",3,24,3,16.666666666666664,25.0
" A letra dizia: ""Pastinha já foi à África, pra mostrar capoeira do Brasil""",3,18,1,22.22222222222222,5.555555555555555
" Merece destaque ainda o trabalho do capoeirista Annibal Burlamaqui, o Zuma, que, em 1928, publicou, na cidade do Rio de Janeiro, a primeira metodologia escrita da capoeira, intitulada Ginástica Nacional Metodizada e Regrada",3,41,7,21.951219512195124,21.951219512195124
" O trabalho de Zuma teve influência direta no Decreto Federal 3 199/41 editado pelo presidente brasileiro Getúlio Vargas que criou o departamento nacional de luta brasileira (capoeiragem), departamento este pertencente à confederação brasileira de pugilismo",3,39,1,23.076923076923077,23.076923076923077
" Desde então, a capoeira passou a desfrutar do mesmo ""status"" de arte marcial de que gozavam lutas estrangeiras como o judô, o caratê, o boxe etc",3,32,3,21.875,15.625
 Há de se destacar a influência da capoeira no frevo do estado brasileiro de Pernambuco e no samba do estado brasileiro do Rio de Janeiro,3,26,0,46.15384615384615,38.46153846153847
" Em ambos os casos, os movimentos dos capoeiristas que protegiam as bandeiras dos blocos de rua foram transformados em passos de dança acompanhados de guarda-chuva (no caso do frevo) e nos movimentos coreografados de mestre-sala e porta-bandeira (no caso do samba)",3,47,1,38.297872340425535,21.27659574468085
 O guarda-chuva do frevo era utilizado inicialmente como arma,3,10,0,30.0,20.0
" De modo semelhante, os capoeiristas cariocas defendendiam a porta-bandeira de sua agremiação com uma navalha, a qual acabou se transformando no atual leque usado pelos mestre-salas das escolas de samba",3,33,2,33.33333333333333,18.181818181818183
" Em 1992, o departamento nacional de luta brasileira desvinculou-se da confederação brasileira de pugilismo e mudou seu nome para confederação brasileira de capoeira",3,25,1,24.0,28.000000000000004
" Em 1995, a CBC passou a fazer parte do comitê olímpico brasileiro",3,14,1,21.428571428571427,7.142857142857142
" Em 2002, foi lançado o filme brasileiro Madame Satã, narrando a vida do famoso capoeirista",3,18,2,11.11111111111111,22.22222222222222
" Em 2008, a capoeira foi oficialmente reconhecida pelo governo brasileiro como patrimônio cultural do país",3,17,1,23.52941176470588,17.647058823529413
" Em 2009, foi lançado o filme brasileiro Besouro, narrando a vida de Besouro Cordão de Ouro",3,19,2,15.789473684210526,15.789473684210526
" Mecânica dos fluidos/Cálculo da perda de carga em tubulaçõesAs perdas em tubulações podem ser divididas em dois grupos: as perdas que ocorrem nos trechos lineares, ou perdas distribuídas, e as perdas localizadas em elementos individuais, também chamadas perdas singulares",4,46,3,34.78260869565217,4.3478260869565215
" As perdas do primeiro grupo constituem a maior parte do total, pois normalmente as tubulações de interesse possuem grande extensão, e por isso são também chamadas perdas principais (ing",4,33,2,42.42424242424242,9.090909090909092
" ""major losses""); as demais são, por sua vez, chamadas perdas secundárias (ing",4,20,2,30.0,0.0
" ""minor losses"")",4,6,0,0.0,0.0
" Nesses trechos, a seção do duto é constante",4,10,1,20.0,18.181818181818183
" Se queremos saber a perda devido ao duto, é preciso desconsiderar o fator correspondente à mudança de altura",4,21,1,19.047619047619047,19.047619047619047
" Assim, a perda deve ser calculada comoformula_1No caso de fluxo laminar (ver exercício), temosformula_2Assimformula_3O valor negativo reflete que a energia total diminuiu (a pressão caiu)",4,32,2,18.75,12.5
" Como H é uma perda de carga, é comum desprezar-se o sinal e falar da ocorrência de uma perda de carga positiva nas tubulações",4,26,1,34.61538461538461,23.076923076923077
" Agrupando termos,formula_4No caso de fluxo turbulento, não é possível determinar analiticamente a expressão para a variação de pressão; é preciso recorrer à experiência",4,28,2,28.57142857142857,14.285714285714285
" Em um exercício, determinaram-se os grupos adimensionais relevantes nesse casoformula_5Podemos, então, escreverformula_6Mas formula_7Além disso, experimentalmente se verifica que a perda de carga ΔH é proporcional ao comprimento do tubo, se D for mantido constante",4,43,5,27.906976744186046,13.953488372093023
" Assim, podemos escreverformula_8Essa equação é conhecida como equação de Darcy-Weisbach",4,12,1,33.33333333333333,16.666666666666664
" N é chamado fator de atrito (neste caso, fator de atrito de Darcy); em geral, ele é uma função do diâmetro, da rugosidade e do Número de Reynolds do escoamento:formula_9As fórmulas para escoamento laminar e turbulento, escritas na forma indicada, permitem dizer que o fator de atrito para escoamento laminar é igual a formula_10O valor do fator de atrito para escoamento turbulento foram levantados por Lewis Ferry Moody e tabulados no que se chama Diagrama de Moody",4,89,5,37.07865168539326,22.47191011235955
 O Diagrama de Moody mostra que o fator de atrito diminui com o Número de Reynolds,4,17,0,29.411764705882355,17.647058823529413
﻿Teatro é uma das artes mais gostosas de fazer,1,9,0,66.66666666666666,11.11111111111111
 Fazendo teatro você pode brincar de ser muitas pessoas diferentes,1,11,0,36.36363636363637,18.181818181818183
" Pode ser um vampiro, um rei, uma princesa",1,11,2,36.36363636363637,9.090909090909092
" Personagens conhecidos, como Napoleão, Cleópatra, ou tipos interessantes, como mendigos, astrônomos, bailarinos, mágicos",1,21,7,14.285714285714285,14.285714285714285
"Fazendo teatro a gente experimenta ser o que não é, e tem ideia de como seria a vida se a gente fosse outra pessoa, fazendo coisas diferentes das coisas que a gente faz todo dia, vivendo em outro tempo e em outro lugar",1,46,3,39.130434782608695,10.869565217391305
Mas,1,1,0,0.0,0.0
" como surgiu o teatro na história do homem?Foi há muitos anos, pois o teatro é uma arte muito antiga",1,21,1,38.095238095238095,14.285714285714285
O homem é um animal muito curioso,1,7,0,42.857142857142854,0.0
" Dá pra imaginar direitinho, quando os homens ainda viviam nas cavernas",1,13,1,30.76923076923077,0.0
 A curiosidade que deviam sentir sobre tudo o que estava à sua volta,1,14,0,50.0,7.142857142857142
"Naquela época, os homens já deviam ficar imaginando como era ser bisão, um leão, um pássaro",1,19,3,36.84210526315789,10.0
" Talvez esses homens das cavernas até ficassem brincando de imitar os bichos, reproduzindo os seus ruídos e seus movimentos, imitando o olhar, um jeito especial de se coçar ou de comer",1,35,3,37.142857142857146,11.428571428571429
" Talvez essa imitação até servisse para contar, sem palavras, como foi uma caçada especialmente difícil: os caçadores esperando atrás de uma pedra e cercando o animal, depois atacando e lutando até conseguir, com muito esforço, dominar a caça",1,45,5,33.33333333333333,11.11111111111111
"Você consegue pensar em um jeito de contar tudo isso aos seus amigos usando tudo o seu corpo, fazendo sons e movimentos, como se fosse tudo de verdade? Pois essa história movimentada, encenada há milênios por nossos ancestrais, pode ter sido a primeira peça de teatro",1,52,4,38.46153846153847,21.153846153846153
"Hoje em dia, podemos desfrutar de uma grande riqueza no teatro: ter tudo que o existiu no passado, convivendo com coisas da atualidade",1,26,2,42.30769230769231,23.076923076923077
" As histórias são muito variadas: contos modernos, de autores ainda vivos, coexistem com os clássicos, que ajudaram a fazer a história do teatro",1,28,3,32.142857142857146,7.142857142857142
 E assim também acontece com as diversas técnicas que os diversos atores usam para representar,1,16,0,43.75,6.25
O teatro faz parte da vida de todos nós,1,9,0,66.66666666666666,33.33333333333333
" Há teatro nas brincadeiras de criança, há teatro na rua, há teatro no teatro",1,17,2,23.52941176470588,17.647058823529413
 O teatro está nas escolas e até nos hospitais,1,10,0,40.0,0.0
 Pois teatro não precisa ser feito só por profissionais especializados e artistas,1,13,0,30.76923076923077,0.0
" Ele pode ser feito por qualquer um que goste de representar, de imaginar histórias, de viver personagens",1,20,2,45.0,20.0
" E como quase todo mundo gosta dessas coisas, o teatro está vivo em muitos diferentes lugares",1,19,1,31.57894736842105,15.789473684210526
Teatro diverte e ajudas as pessoas a expressar as próprias emoções,1,11,0,18.181818181818183,0.0
" Mas ele também é, sempre foi, uma maneira que as pessoas encontram de investigar o seu tempo",1,20,2,55.00000000000001,5.0
" De tentar descobrir o que é o amor, o medo, o ódio, a amizade",1,18,3,16.666666666666664,11.11111111111111
 De tentar entender – e aceitar – a ideia de morte,1,12,0,16.666666666666664,16.666666666666664
" De tentar compreender melhor o papel do homem na sociedade, suas relações, suas alegrias, suas angústias",1,20,3,30.0,15.0
"Não é incrível? O teatro mudou tanto, já teve tantas formas diferentes",1,14,1,28.57142857142857,7.142857142857142
" mas continua sendo um modo de as pessoas estarem juntas, brincando, representando, imaginando como é ser um rei, um ladrão, um astrônomo, um louco, uma bailarina",1,34,7,35.294117647058826,8.823529411764707
" um bisão, um leão, um pássaro",1,9,2,33.33333333333333,11.11111111111111
" É que ossos são feitos de cálcio – e, para absorver o cálcio, nosso sistema digestivo precisa de vitamina D",2,23,2,30.434782608695656,17.391304347826086
" “Sem ela, os dinossauros não teriam aguentado o peso do próprio corpo”, explica Ian Wishart no livro Vitamin D: Is This the Miracle Vitamin? (“Vitamina D: vitamina milagrosa?”, ainda sem versão em português)",2,47,3,19.148936170212767,10.638297872340425
" Os humanos, desde sempre, mantiveram uma relação íntima com o Sol",2,14,2,35.714285714285715,0.0
" Mas, quando a Revolução Industrial entrou em cena, no século 18, essa história tomou outro rumo",2,20,3,20.0,15.0
" Abarrotadas de trabalhadores, as cidades começaram a se estreitar, com prédios cada vez mais próximos, ficando cheias de sombras",2,23,3,34.78260869565217,17.391304347826086
" A fuligem da queima de carvão, além de poluir, dificultava a passagem dos raios solares",2,18,2,27.77777777777778,16.666666666666664
" Crianças da Inglaterra e do norte da Europa começaram a apresentar deformações nos ossos, bolinhas na pele e má-formação dos dentes",2,23,1,26.08695652173913,21.73913043478261
 Estavam sofrendo de uma doença pouco conhecida até então: o raquitismo,2,13,0,46.15384615384615,7.6923076923076925
" Em 1916, Harry Steenbock, da Universidade de Wisconsin, descobriu que a luz solar era a resposta para o raquitismo",2,23,3,21.73913043478261,13.043478260869565
" Surgiu então a moda da helioterapia (terapia da exposição solar), que havia sido idealizada pela primeira vez pelo historiador grego Heródoto, no século I",2,29,2,31.03448275862069,24.137931034482758
" Na Europa e nos EUA, hospitais construíram solários e varandas para banhos de sol",2,16,1,18.75,18.75
" Nessa mesma época, outros pesquisadores queriam entender por que a Noruega, ao contrário dos países vizinhos, registrava baixos índices de raquitismo",2,26,3,19.230769230769234,3.7037037037037033
" O segredo estava na dieta: os noruegueses se alimentavam, principalmente, de peixes selvagens – e consumiam muito óleo de fígado de bacalhau",2,26,2,30.76923076923077,19.230769230769234
 O bioquímico americano Elmer Mc,2,6,0,0.0,0.0
" Collum, também da Universidade de Wisconsin, analisou esses alimentos e neles encontrou uma nova substância, que batizou de vitamina D",2,25,3,36.0,20.0
" Os médicos passaram a receitar óleo de fígado de bacalhau, alimento que contém uma quantidade considerável da substância",2,20,1,25.0,15.0
" A indústria do leite começou a fortificar o produto com vitamina D, que pode ser sintetizada quimicamente ou retirada do sebo de ovelhas",2,25,1,32.0,28.000000000000004
" Santos católicos/BiografiasEm sua vida, foram relatados muitos fenômenos místicos, como êxtases, levitação e bilocação (estar em mais de um lugar ao mesmo tempo)",3,32,3,37.5,9.375
" Para curar algumas pessoas doentes, Frei Galvão escrevia num papel a frase em latim ""Post partum Virgo Inviolata permansisti: Dei Genitrix intercede pro nobis"" (que, em português, significa ""Após o parto, permaneceste Virgem Inviolável: intercedei por nós, Mãe de Deus""), enrolava o papel no formato de uma pílula e pedia para a pessoa engoli-lo",3,69,6,17.391304347826086,7.246376811594203
" Ensinou as irmãs do Recolhimento da Luz a confeccionar a pílula, o que fazem até hoje",3,18,1,33.33333333333333,16.666666666666664
 Faleceu em 1822 e foi sepultado no Recolhimento da Luz,3,11,0,36.36363636363637,18.181818181818183
" Seu túmulo, desde então, é ponto de peregrinação",3,11,2,45.45454545454545,9.090909090909092
" Após sua canonização em 2007, tornou-se o primeiro santo católico nascido no Brasil",3,15,1,26.666666666666668,6.666666666666667
 É venerado no dia 25 de outubro,3,8,0,25.0,37.5
" Para abrigar o crescente número de visitantes, foi construído, primeiro, um oratório",3,16,3,31.25,12.5
" Depois, uma capela em 1745, a basílica velha em 1834 e, finalmente, a atual basílica em 1980, que foi consagrada pelo papa João Paulo II",3,31,5,22.58064516129032,12.903225806451612
" Desde 1929, é, oficialmente, a padroeira do Brasil",3,12,3,16.666666666666664,8.333333333333332
" Seu dia é o 12 de outubro, quando a cidade de Aparecida do Norte, no estado brasileiro de São Paulo, se enche de romeiros vindos do país inteiro",3,32,3,34.375,28.125
" Ao longo do tempo, Nossa Senhora da Cabeça passou a ser invocada para resolver problemas relativos à cabeça",3,20,1,30.0,23.809523809523807
" Muitas vezes, a imagem mostra Nossa Senhora segurando uma cabeça",3,12,1,16.666666666666664,8.333333333333332
" No início do século XVII, um casal de espanhóis se dirigia ao Rio de Janeiro quando o barco Candelária em que viajavam foi atingido por forte tempestade",3,30,1,33.33333333333333,16.666666666666664
