text,level
" ""Dá um frio na barriga, mas eles não são carrascos"", brinca Juliana, 16, que veio à feira com a ajuda de custo oferecida por sua escola, em Imperatriz (MA): RS 1000,00",2
 As passagens saíram do próprio bolso,2
" ""Os avaliadores explicam em que temos que melhorar",2
" Um deles vai até me emprestar um livro"" comenta Allan, 16",2
" Juntos, Juliana e Allan desenvolveram um ""ecoconcreto"", com PET derretido no lugar de cimento",2
" A variedade de ""soluções"" para as agruras do mundo é impressionante",2
 Encontrar alternativas para amenizar problemas ambientais foi o desafio preferido da delegação nigeriana: uma das duplas criou uma forma de produzir gás doméstico a partir do lixo orgânico,2
" Por outro lado, os paqueradores cazaques, sensação das menininhas na feira, focaram seus estudos na Matemática",2
 Um trio criou uma nova maneira de calcular a raiz quadrada de qualquer número,2
 A preocupação com o bem-estar dos portadores de necessidades especiais também permeou muitos dos trabalhos: bengala que vibra ao se aproximar de objetos e urna eletrônica para cegos ,2
 Contratempos do cotidiano nas grandes cidades foram observados e transformados em objeto de estudo por alguns alunos,2
" ""Nunca vou esquecer quando meu pai cochilou ao volante",2
""" Lembra Felipe, 18, criador dos óculos antissonolência ",2
" Satisfeito com a liberdade de invenção proporcionada pelo evento, Felipe dá a letra: ""Isso aqui é, para os espertos, uma grande preparação para o mercado de trabalho""",2
" Como resultado, em 1555, uma expedição francesa liderada por Nicolas Durand de Villegaignon iniciou um projeto de colonização na região da Baía de Guanabara chamado França Antártica",3
" Os franceses, aliados aos tamoios, construíram o Forte Coligny na Ilha de Serigipe, na entrada da baía",3
" Segundo o antropólogo brasileiro Darcy Ribeiro, os franceses se uniram às índias locais, gerando mais de mil mestiços que povoaram toda a região da Baía de Guanabara",3
" Tal pode ser a origem do atual sotaque fluminense, que é caracterizado pelo ""erre"" típico do francês e inexistente no português de Portugal e dos demais estados brasileiros, nas línguas indígenas brasileiras e nas línguas dos negros africanos",3
" Quanto à Capitania de São Tomé, apesar dos esforços do seu donatário, Pero de Góis, que construiu nela a Vila da Rainha (no local da atual cidade de São João da Barra), acabou devastada pelos índios goitacases",3
" Diante do fracasso de quase todas as capitanias hereditárias, o rei português dom João III resolveu enviar ao Brasil um governador-geral para comandar os esforços de colonização do território",3
" O terceiro desses governadores, Mem de Sá, liderou uma expedição militar contra os franceses na Capitania do Rio de Janeiro em 1560, culminando na destruição do Forte Coligny",3
" Porém os franceses sobreviventes continuaram na região, sendo necessária uma segunda expedição militar portuguesa, em 1565, liderada pelo sobrinho de Mem de Sá, Estácio de Sá e uma terceira, em 1567, liderado por Mem de Sá, para expulsar definitivamente os franceses da região",3
" No decorrer da luta, foi fundada a cidade de São Sebastião do Rio de Janeiro no sopé do Morro Cara de Cão em 1º de março de 1565 por Estácio de Sá, para servir como núcleo da resistência portuguesa",3
" Em 1567, em um combate em Uruçumirim (a atual Praia do Flamengo), Estácio de Sá foi mortalmente ferido com uma flecha envenenada",3
" Durante todos os combates, os portugueses contaram com o apoio de índios temiminós e tupiniquins",3
" Identififcação via Radio Freqüência é, relativamente, uma das mais novas tecnologias de coleta automática de dados",4
 Inicialmente surgiu como solução para sistemas de rastreamento e controle de acesso na década de 80,4
" Uma das maiores vantagens dos sistemas baseados em RFID é o fato de permitir a codificação em ambientes não favoráveis e em produtos onde o uso de código de barras, por exemplo, não é eficiente",4
" Este sistema funciona com uma antena, um transmissor e um decodificador",4
 Esses componentes interagem através de ondas eletromagnéticas transformando-as em informações capazes de ser processadas por um computadorA principal vantagem do uso de sistemas RFID é realizar a leitura sem o contato como no código de barras,4
" Você poderia, por exemplo, colocar o transmissor dentro de um produto e realizar a leitura sem ter que desempacota-lo, ou por exemplo aplica-lo em uma superfície que será posteriormente coberta de tinta ou graxa",4
" Esse sistema pode ser usado para controle de acesso, controle de tráfego de veículos, controle de bagagens em aeroportos, controle de containers e ainda em identificação de pallets",4
" O tempo de resposta é baixíssimo, tornando-se uma boa solução para processo produtivos onde se deseja capturar as informações com o transmissor em movimento",4
 Rastreamento é o processo de monitorar um objeto enquanto ele se move,4
" Hoje em dia é possível monitorar a posição ou movimento de qualquer objeto, utilizando-se de equipamentos de GPS aliados a links de comunicação",4
 O casamento GPS + comunicação é necessário pois o receptor GPS localiza sua própria posição; esta deve ser transmitida via canal de comunicação para uma central que fará efetivamente o monitoramento,4
 Esta tecnologia é comumente conhecida como AVL (Automatic Vehicle Location),4
 GPS é um sistema de posicionamento mundial formado por uma constelação de 24 satélites que apontam a localização de qualquer corpo sobre a superfície terrestre,4
" Um aparelho receptor GPS recebe sinais desses satélites determinando sua posição exata na Terra, com precisão que pode chegar à casa dos centímetros",4
 Só em filmes e histórias em quadrinhos existem super-heróis,1
 Dois fenômenos vistos no nosso céu chamaram a atenção dos gaúchos ontem,1
 Um deles era um círculo em torno do Sol,1
 Muita gente parou o que fazia para olhar para cima e ver o que estava acontecendo,1
 Havia pessoas que acharam até que era o fim do mundo,1
 Mas não era nada disso,1
 Acontece que ontem havia nuvens muito altas formadas por cristais de gelo,1
" A luz do Sol, ao passar por essas nuvens, se decompôs",1
" É como se ela se partisse, formando a roda que as pessoas observaram no céu",1
 Foi um espetáculo comentado nas conversas o dia inteiro,1
" À noite, as pessoas também procuraram olhar para o céu para ver outro fenômeno raro de acontecer",1
" Elas procuravam o cometa McNaught, que está passando pelo nosso céu",1
 Um cometa é um corpo que anda pelo Sistema Solar,1
" Quando está perto do Sol, desevolve uma cauda brilhante que pode ser vista até sem binóculo",1
 Eles são feitos de gelo e poeira,1
" Opresidente da Venezuela, Hugo Chávez, é uma pessoa muito polêmica",1
" Alguns acham que ele é um bom presidente e que está ajudando os pobres, mas outros dizem que está fazendo um governo ruim e que a Venezuela está ficando pior",1
" Ontem, ele tomou posse para mais seis anos de governo, até 2013",1
" Entre outras coisas, Chávez quer passar para o controle do governo todas as empresas que cuidam de energia e de telefones",1
 Chávez também quer mudar a lei para poder concorrer a presidente sempre que quiser e ficar no cargo até morrer,1
 O carvão usado para fazer eletricidade é diferente do colocado na churrasqueira para assar carne,1
" O que vira energia vem do subsolo, por isso é chamado de carvão mineral",1
" O que se compra no súper para o churrasco é vegetal, quer dizer, é feito de madeira",1
 Está no Rio Grande do Sul quase todo o carvão mineral que existe no Brasil,1
" Em outras palavras, uma ação social constitui-se como ação que parte da intenção de seu autor em relação à resposta que deseja de seu interlocutor",2
" Weber estipulou quatro tipos ideais de ações sociais: a ação racional com relação a fins, a ação racional com relação a valores, a ação afetiva e a ação tradicional",2
" Percebe-se, portanto, que Weber afastou-se dos determinismos sócio-históricos de Karl Marx e do fatalismo da noção de um sistema externo e independente do indivíduo que Émile Durkheim propôs, elaborando, assim, a noção de um ser humano livre para agir, pensar e construir sua realidade",2
" Para Weber, as estruturas sociais estavam em contato direto com o poder de ação dos indivíduos, o que significa que os sujeitos, seus valores e ideias possuem força de ação direta sobre essas estruturas",2
" A tarefa da Sociologia seria, então, segundo o teórico, apreender os significados que norteiam essas ações",2
 Weber demonstrou esse princípio em seus estudos comparativos sobre as distinções entre religiões Ocidentais e Orientais,2
" Em seu livro, “A ética protestante e o espírito do capitalismo”, o autor buscou esclarecer como a lógica cristã foi responsável pelo desenvolvimento do sistema de produção capitalista",2
" Nisso estaria inserido o contexto cultural e valorativo das sociedades cristãs, e não apenas seu modelo ou situação econômica",2
 Outro ponto importante da teoria weberiana é a busca pela construção dos “tipos ideais” no processo de construção do conhecimento teórico,2
 O estabelecimento de tipos ideais não busca construir tipologias fixas nem mesmo busca classificar de maneira inflexível o objeto em questão,2
" Eles servem como parâmetro de observação, um “boneco” com características delineadas que serve apenas como ponto de comparação entre o observado e sua obra teórica",2
" Trata-se de modelos conceituais que nem sempre, ou quase nunca, existem",2
 Apenas alguns aspectos ou atributos são observáveis,2
" Weber ainda faz referência a um fenômeno de grande importância do mundo moderno e que está relacionado com as mudanças estruturais, culturais e sociais que as sociedades modernas passaram no decorrer do tempo: “a racionalização do mundo social”",2
" Esse fenômeno refere-se a mudanças profundas, como a gradual construção do capitalismo e a monstruosa explosão do crescimento dos meios urbanos, que se tornaram as bases da reordenação das organizações tradicionais que predominavam até então",2
" Ampliando nossa explicação, devemos dizer que a preocupação de Weber estava em tentar apreender os processos pelos quais o pensamento racional, ou a racionalidade, impactou as instituições modernas, como o Estado, os governos e, ainda, o âmbito cultural, social e individual do sujeito moderno",2
" Em sua denominação das diversas formas de racionalidade, Weber fez distinção de quatro principais formas: a racionalidade formal, a racionalidade substantiva, a racionalidade meio finalística e a racionalidade quanto aos valores",2
 A obra de Max Weber é incrivelmente diversa e amplamente utilizada em esforços de compreensão dos fenômenos sociais contemporâneos,2
" A sociologia weberiana influenciou e ainda influencia grandes teóricos, que enxergam na visão de Weber uma ferramenta para desvendar os mistérios das relações humanas",2
" Menos acrobático e mais lento que o estilo regional, o Angola privilegiava os movimentos executados rente ao chão",3
" Em 1941, Pastinha criou a primeira escola de capoeira legalizada pelo governo do estado brasileiro da Bahia: o centro esportivo de capoeira Angola, no largo do Pelourinho, em Salvador",3
" Em 1966, fez parte da comitiva brasileira ao primeiro festival mundial de arte negra no Senegal",3
" Tal fato motivou a letra da música Triste Bahia, do cantor brasileiro Caetano Veloso, lançada no disco Transa, de 1972",3
" A letra dizia: ""Pastinha já foi à África, pra mostrar capoeira do Brasil""",3
" Merece destaque ainda o trabalho do capoeirista Annibal Burlamaqui, o Zuma, que, em 1928, publicou, na cidade do Rio de Janeiro, a primeira metodologia escrita da capoeira, intitulada Ginástica Nacional Metodizada e Regrada",3
" O trabalho de Zuma teve influência direta no Decreto Federal 3 199/41 editado pelo presidente brasileiro Getúlio Vargas que criou o departamento nacional de luta brasileira (capoeiragem), departamento este pertencente à confederação brasileira de pugilismo",3
" Desde então, a capoeira passou a desfrutar do mesmo ""status"" de arte marcial de que gozavam lutas estrangeiras como o judô, o caratê, o boxe etc",3
 Há de se destacar a influência da capoeira no frevo do estado brasileiro de Pernambuco e no samba do estado brasileiro do Rio de Janeiro,3
" Em ambos os casos, os movimentos dos capoeiristas que protegiam as bandeiras dos blocos de rua foram transformados em passos de dança acompanhados de guarda-chuva (no caso do frevo) e nos movimentos coreografados de mestre-sala e porta-bandeira (no caso do samba)",3
 O guarda-chuva do frevo era utilizado inicialmente como arma,3
" De modo semelhante, os capoeiristas cariocas defendendiam a porta-bandeira de sua agremiação com uma navalha, a qual acabou se transformando no atual leque usado pelos mestre-salas das escolas de samba",3
" Em 1992, o departamento nacional de luta brasileira desvinculou-se da confederação brasileira de pugilismo e mudou seu nome para confederação brasileira de capoeira",3
" Em 1995, a CBC passou a fazer parte do comitê olímpico brasileiro",3
" Em 2002, foi lançado o filme brasileiro Madame Satã, narrando a vida do famoso capoeirista",3
" Em 2008, a capoeira foi oficialmente reconhecida pelo governo brasileiro como patrimônio cultural do país",3
" Em 2009, foi lançado o filme brasileiro Besouro, narrando a vida de Besouro Cordão de Ouro",3
" Mecânica dos fluidos/Cálculo da perda de carga em tubulaçõesAs perdas em tubulações podem ser divididas em dois grupos: as perdas que ocorrem nos trechos lineares, ou perdas distribuídas, e as perdas localizadas em elementos individuais, também chamadas perdas singulares",4
" As perdas do primeiro grupo constituem a maior parte do total, pois normalmente as tubulações de interesse possuem grande extensão, e por isso são também chamadas perdas principais (ing",4
" ""major losses""); as demais são, por sua vez, chamadas perdas secundárias (ing",4
" ""minor losses"")",4
" Nesses trechos, a seção do duto é constante",4
" Se queremos saber a perda devido ao duto, é preciso desconsiderar o fator correspondente à mudança de altura",4
" Assim, a perda deve ser calculada comoformula_1No caso de fluxo laminar (ver exercício), temosformula_2Assimformula_3O valor negativo reflete que a energia total diminuiu (a pressão caiu)",4
" Como H é uma perda de carga, é comum desprezar-se o sinal e falar da ocorrência de uma perda de carga positiva nas tubulações",4
" Agrupando termos,formula_4No caso de fluxo turbulento, não é possível determinar analiticamente a expressão para a variação de pressão; é preciso recorrer à experiência",4
" Em um exercício, determinaram-se os grupos adimensionais relevantes nesse casoformula_5Podemos, então, escreverformula_6Mas formula_7Além disso, experimentalmente se verifica que a perda de carga ΔH é proporcional ao comprimento do tubo, se D for mantido constante",4
" Assim, podemos escreverformula_8Essa equação é conhecida como equação de Darcy-Weisbach",4
" N é chamado fator de atrito (neste caso, fator de atrito de Darcy); em geral, ele é uma função do diâmetro, da rugosidade e do Número de Reynolds do escoamento:formula_9As fórmulas para escoamento laminar e turbulento, escritas na forma indicada, permitem dizer que o fator de atrito para escoamento laminar é igual a formula_10O valor do fator de atrito para escoamento turbulento foram levantados por Lewis Ferry Moody e tabulados no que se chama Diagrama de Moody",4
 O Diagrama de Moody mostra que o fator de atrito diminui com o Número de Reynolds,4
﻿Teatro é uma das artes mais gostosas de fazer,1
 Fazendo teatro você pode brincar de ser muitas pessoas diferentes,1
" Pode ser um vampiro, um rei, uma princesa",1
" Personagens conhecidos, como Napoleão, Cleópatra, ou tipos interessantes, como mendigos, astrônomos, bailarinos, mágicos",1
"Fazendo teatro a gente experimenta ser o que não é, e tem ideia de como seria a vida se a gente fosse outra pessoa, fazendo coisas diferentes das coisas que a gente faz todo dia, vivendo em outro tempo e em outro lugar",1
Mas,1
" como surgiu o teatro na história do homem?Foi há muitos anos, pois o teatro é uma arte muito antiga",1
O homem é um animal muito curioso,1
" Dá pra imaginar direitinho, quando os homens ainda viviam nas cavernas",1
 A curiosidade que deviam sentir sobre tudo o que estava à sua volta,1
"Naquela época, os homens já deviam ficar imaginando como era ser bisão, um leão, um pássaro",1
" Talvez esses homens das cavernas até ficassem brincando de imitar os bichos, reproduzindo os seus ruídos e seus movimentos, imitando o olhar, um jeito especial de se coçar ou de comer",1
" Talvez essa imitação até servisse para contar, sem palavras, como foi uma caçada especialmente difícil: os caçadores esperando atrás de uma pedra e cercando o animal, depois atacando e lutando até conseguir, com muito esforço, dominar a caça",1
"Você consegue pensar em um jeito de contar tudo isso aos seus amigos usando tudo o seu corpo, fazendo sons e movimentos, como se fosse tudo de verdade? Pois essa história movimentada, encenada há milênios por nossos ancestrais, pode ter sido a primeira peça de teatro",1
"Hoje em dia, podemos desfrutar de uma grande riqueza no teatro: ter tudo que o existiu no passado, convivendo com coisas da atualidade",1
" As histórias são muito variadas: contos modernos, de autores ainda vivos, coexistem com os clássicos, que ajudaram a fazer a história do teatro",1
 E assim também acontece com as diversas técnicas que os diversos atores usam para representar,1
O teatro faz parte da vida de todos nós,1
" Há teatro nas brincadeiras de criança, há teatro na rua, há teatro no teatro",1
 O teatro está nas escolas e até nos hospitais,1
 Pois teatro não precisa ser feito só por profissionais especializados e artistas,1
" Ele pode ser feito por qualquer um que goste de representar, de imaginar histórias, de viver personagens",1
" E como quase todo mundo gosta dessas coisas, o teatro está vivo em muitos diferentes lugares",1
Teatro diverte e ajudas as pessoas a expressar as próprias emoções,1
" Mas ele também é, sempre foi, uma maneira que as pessoas encontram de investigar o seu tempo",1
" De tentar descobrir o que é o amor, o medo, o ódio, a amizade",1
 De tentar entender – e aceitar – a ideia de morte,1
" De tentar compreender melhor o papel do homem na sociedade, suas relações, suas alegrias, suas angústias",1
"Não é incrível? O teatro mudou tanto, já teve tantas formas diferentes",1
" mas continua sendo um modo de as pessoas estarem juntas, brincando, representando, imaginando como é ser um rei, um ladrão, um astrônomo, um louco, uma bailarina",1
" um bisão, um leão, um pássaro",1
" É que ossos são feitos de cálcio – e, para absorver o cálcio, nosso sistema digestivo precisa de vitamina D",2
" “Sem ela, os dinossauros não teriam aguentado o peso do próprio corpo”, explica Ian Wishart no livro Vitamin D: Is This the Miracle Vitamin? (“Vitamina D: vitamina milagrosa?”, ainda sem versão em português)",2
" Os humanos, desde sempre, mantiveram uma relação íntima com o Sol",2
" Mas, quando a Revolução Industrial entrou em cena, no século 18, essa história tomou outro rumo",2
" Abarrotadas de trabalhadores, as cidades começaram a se estreitar, com prédios cada vez mais próximos, ficando cheias de sombras",2
" A fuligem da queima de carvão, além de poluir, dificultava a passagem dos raios solares",2
" Crianças da Inglaterra e do norte da Europa começaram a apresentar deformações nos ossos, bolinhas na pele e má-formação dos dentes",2
 Estavam sofrendo de uma doença pouco conhecida até então: o raquitismo,2
" Em 1916, Harry Steenbock, da Universidade de Wisconsin, descobriu que a luz solar era a resposta para o raquitismo",2
" Surgiu então a moda da helioterapia (terapia da exposição solar), que havia sido idealizada pela primeira vez pelo historiador grego Heródoto, no século I",2
" Na Europa e nos EUA, hospitais construíram solários e varandas para banhos de sol",2
" Nessa mesma época, outros pesquisadores queriam entender por que a Noruega, ao contrário dos países vizinhos, registrava baixos índices de raquitismo",2
" O segredo estava na dieta: os noruegueses se alimentavam, principalmente, de peixes selvagens – e consumiam muito óleo de fígado de bacalhau",2
 O bioquímico americano Elmer Mc,2
" Collum, também da Universidade de Wisconsin, analisou esses alimentos e neles encontrou uma nova substância, que batizou de vitamina D",2
" Os médicos passaram a receitar óleo de fígado de bacalhau, alimento que contém uma quantidade considerável da substância",2
" A indústria do leite começou a fortificar o produto com vitamina D, que pode ser sintetizada quimicamente ou retirada do sebo de ovelhas",2
" Santos católicos/BiografiasEm sua vida, foram relatados muitos fenômenos místicos, como êxtases, levitação e bilocação (estar em mais de um lugar ao mesmo tempo)",3
" Para curar algumas pessoas doentes, Frei Galvão escrevia num papel a frase em latim ""Post partum Virgo Inviolata permansisti: Dei Genitrix intercede pro nobis"" (que, em português, significa ""Após o parto, permaneceste Virgem Inviolável: intercedei por nós, Mãe de Deus""), enrolava o papel no formato de uma pílula e pedia para a pessoa engoli-lo",3
" Ensinou as irmãs do Recolhimento da Luz a confeccionar a pílula, o que fazem até hoje",3
 Faleceu em 1822 e foi sepultado no Recolhimento da Luz,3
" Seu túmulo, desde então, é ponto de peregrinação",3
" Após sua canonização em 2007, tornou-se o primeiro santo católico nascido no Brasil",3
 É venerado no dia 25 de outubro,3
" Para abrigar o crescente número de visitantes, foi construído, primeiro, um oratório",3
" Depois, uma capela em 1745, a basílica velha em 1834 e, finalmente, a atual basílica em 1980, que foi consagrada pelo papa João Paulo II",3
" Desde 1929, é, oficialmente, a padroeira do Brasil",3
" Seu dia é o 12 de outubro, quando a cidade de Aparecida do Norte, no estado brasileiro de São Paulo, se enche de romeiros vindos do país inteiro",3
" Ao longo do tempo, Nossa Senhora da Cabeça passou a ser invocada para resolver problemas relativos à cabeça",3
" Muitas vezes, a imagem mostra Nossa Senhora segurando uma cabeça",3
" No início do século XVII, um casal de espanhóis se dirigia ao Rio de Janeiro quando o barco Candelária em que viajavam foi atingido por forte tempestade",3
 O casal então prometeu erguer uma ermida em honra a Nossa Senhora da Candelária caso conseguissem escapar com vida,3
" Como conseguiram chegar sãos e salvos ao Rio de Janeiro, o casal ergueu a ermida na cidade, ermida esta que foi a primeira igreja construída na cidade e que viria a ser o embrião da atual Igreja de Nossa Senhora da Candelária",3
" Por volta de 1650, existia uma capela dedicada a Nossa Senhora da Luz, perto do Rio Atuba, no Paraná, no Brasil",3
" Mas o único subconjunto próprio de ""S"" é o conjunto vazio, e a única função formula_22 é a função cujo gráfico é o conjunto vazio, portanto não existe ""(x,y)"" no gráfico de ""f"" tal que ""y = s"" - em outras palavras, ""S"" não é infinito",4
" Podemos prosseguir, mostrando vários casos particulares de conjuntos finitos (por exemplo, que ""{x,y}"" é um conjunto finito), mas as provas mais gerais precisam de outras construções (composição de função, produto cartesiano, etc), que dependem dos próximos axiomas - por exemplo, não dá para mostrar que um subconjunto de um conjunto finito é também um conjunto finito! Como vimos anteriormente, definimos formula_23, ""1 = { 0 }"", ""2 = { 0, 1}"", e prosseguimos definindo até ""9 = {0, 1, 2, 3, 4, 5, 6, 7, 8}""",4
" Pode-se imaginar (mas não escrever - a notação não é suportada pela linguagem da teoria dos conjuntos) que um número natural é um conjunto da forma ""n = {0, 1, 2, ",4
" n-1}""",4
 O desafio agora é como escrever isto na linguagem da teoria dos conjuntos,4
" Imediatamente, vemos que o conjunto vazio é um número natural",4
 Então vamos colocar isto na definição,4
" Além disso, todo número natural diferente do zero é o ""sucessor"" (definido por formula_24) de outro número natural, que é um elemento seu",4
" Mas um pouco de imaginação mostra que esta definição esboçada acima como uma propriedade formula_25:dá margem a conjuntos ""bem"" maiores que os números naturais - veremos adiante que conjuntos são esses",4
" Mas se incluirmos que todos elementos de ""x"" tem esta propriedade formula_25, chegamos à seguinte:Neste momento seria tentador resumir esta propriedade como formula_29, mas a existência de um conjunto dos números naturais deve ser adiada para um axioma seguinte - o axioma do infinito",4
" Por enquanto, a propriedade acima será resumida com formula_30Outros resultados importantes não são possíveis sem que antes se exclua a possibilidade de conjuntos da forma ""Q = { Q }""",4
" Este conjunto, se existisse, seria chamado de ), e teria a propriedade desagradável de ser o sucessor dele mesmo (formula_31), sendo, portanto um número natural -mas, conforme vimos pela construção intuitiva, seria interessante que um número natural fosse da forma ""{0, 1, 2, ",4
" n-1}"" e não desta forma patológica",4
Voar sempre foi um dos grandes sonhos da humanidade,1
" Primeiro vieram os balões, no final do século 18, que ganhavam os céus graças à utilização de gases mais leves que o ar, como hidrogênio e hélio",1
" Em 1900, o conde alemão Ferdinand von Zeppelin ia mais além",1
" O nome soa familiar? Pois é: foi o conde que inventou o zepelim, um enorme dirigível, feito de metal e cheio de hidrogênio",1
"Três anos depois, em 1903, os irmãos americanos Wilbur e Orville Wright deram um vôo ainda mais alto",1
 Eles conseguiram manter uma embarcação por 59 segundos no ar,1
" Era um avião primitivo, que foi lançado por uma espécie de catapulta",1
" Mas quem conseguiu pilotar um avião pela primeira vez, sem rampas nem empurrõezinhos, foi o brasileiro Alberto Santos Dumont, em 1906",1
 Isso foi na França e o nome do avião era 14-Bis,1
"Até hoje, americanos e brasileiros disputam o título de inventor do avião",1
" Para eles, foram os irmãos Wright",1
" Para nós, Santos Dumont",1
" A verdade é que a invenção do brasileiro foi mais eficiente, porque voou por conta própria, só com o motor",1
 A deles,1
"Mas você deve estar pensando: quando o avião começou a se parecer com os que a gente vê hoje, nos aeroportos e sobre nossas cabeças? Foi só na década de 1920",1
" Antes, durante a Primeira Guerra Mundial, usavam-se aeronaves para jogar bombas",1
" Foi o primeiro uso do avião, além das experiências",1
" Depois ele virou meio de transporte, carregando passageiros, com segurança",1
 E entrou definitivamente para a vida das pessoas,1
Hoje podemos viajar para qualquer lugar do mundo de forma bem rápida,1
" Tão rápida que inventaram o Concorde, o primeiro avião supersônico, na década de 70",1
" Ele é capaz de viajar duas vezes mais rápido que a velocidade do som, ou seja, aproximadamente a 2",1
"000 quilômetros por hora!Esse super-avião, que hoje só existe na França e na Inglaterra, teve seus vôos suspensos depois de um grave acidente em agosto de 2000",1
 Ainda não se sabe quando o Concorde vai voltar a voar,1
" Mas seu ""bico"" empinado e sua incrível velocidade já entraram para a história da aviação",1
"﻿Em um mundo em que o sucesso na vida profissional depende cada vez mais do rigor intelectual e do conhecimento, causa perplexidade a bandeira que vem sendo empunhada em escolas públicas e particulares brasileiras por uma corrente de professores de linguística",2
" Eles defendem a ideia de que não existe certo ou errado na língua portuguesa, mas que a norma culta, ancorada na gramática, é só mais uma entre as várias maneiras de expressar-se",2
" Para esse grupo, chamar a atenção do aluno que infringe tais regras - papel fundamental de um bom professor - é ""preconceito linguístico""",2
" Adotado nas aulas de português de meio milhão de estudantes do ensino fundamental, o livro Por uma vida melhor é uma amostra do que propaga esse círculo de falsos intelectuais",2
" Escreve Heloisa Ramos, uma das autoras: ""Você deve estar se perguntando: ""Mas eu posso falar os livro?""",2
" Claro que pode""",2
" O erro crasso de concordância seria apenas uma ""variação popular"", segundo a autora",2
" Essa visão mesquinha deturpa a sociolinguística, ramo de estudo focado nas variações do uso de um idioma - o que é bem diferente de menosprezar a norma culta e ensinar as crianças que elas podem falar ""nós vai"" ou ""nós pegou o peixe"" e que, se alguém as admoestar, é por ""preconceito linguístico""",2
"] ""A ideia de que a língua culta é um instrumento de dominação da elite é um absurdo que não se vê em nenhuma outra nação desenvolvida"", diz o linguista Evanildo Bechara, membro da Academia Brasileira de Letras e autor de dezenas de livros",2
" Um dos expoentes dos talibãsda linguística no Brasil é um certo Marcos Bagno, professor da Universidade de Brasília [",2
 Já é um escandalo planetário que o suado dinheirinho dos brasileiros honestos e trabalhadores esteja sendo usado para sustentar os desvarios dos talibãs acadêmicos,2
" A preguiça mental desses doutores do atraso é sustentada por brasileiros de quem o Fisco arranca a maior carga de impostos do mundo entre os paises emergentes, por pais e mães que gastam metade do que ganham para pagar uma boa escola privada aos filhos, suprindo com seu suor o que deveria ser obrigação do estado",2
" Para a procuradora da República Janice Ascari, está-se diante de um crime ""contra nossos jovens",2
" um desserviço à educação já deficientíssima no país""",2
" É espantoso que as crianças brasileiras estejam sendo expostas a esse tipo de lixo acadêmico travestido de vanguarda cultural, quando deveriam estar aprendendo as disciplinas obrigatórias e acumulando o conhecimento e as habilidades que as tornarão capazes de enfrentar com sucesso os desafios do mundo real",2
" O crime apontado pela procuradora Janice Ascari ocorre em um país em que, ao final do ciclo escolar, 62% dos estudantes são incapazes de interpretar textos, onde 1 milhão de vagas abertas pelas empresas braslleiras não podem ser preenchidas por falta de gente qualificada",2
" Enquanto isso, nas salas de aula das escolas públicas, as crianças brasileiras carentes de ""aprender a pescar"", no sentido do provérbio, são ensinadas que é certo falar ""nós pega o peixe""",2
"Suriname/CulturaA língua oficial do país é o neerlandês, herança do antigo colonizador",3
 É a língua utilizada na administração governamental e nas escolas,3
" Porém o surinamês, também conhecido como sranam tongo ou taki-taki, que é uma língua derivada do inglês, também é muito falado nas ruas",3
